Features,ICC,CI95%,F,df1,df2,pval
MPT,0.8733027388774444,[0.76 0.93],7.892830445898028,39,39,1.349266687749997e-09
DDK rate,0.8589423842883835,[0.74 0.92],7.08930173642264,40,40,4.4642109594935806e-09
DDK regularity,0.7592695360172148,[0.55 0.87],4.1540234810975605,40,40,8.304038837083398e-06
VOT,0.823556002822991,[0.67 0.91],5.6675206637763855,40,40,1.236917790913331e-07
pause duration,0.8616896865282184,[0.74 0.93],7.230118816873499,40,40,3.3001640262086237e-09
SZR,0.6621810522622056,[0.36 0.82],2.9601655167553593,39,39,0.0005009817977568842
